XxY,slice_ID,raw_x,raw_y,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,batch,clusters,clusters_0.7,new_x,new_y,new_z,dotShape,clusters_0.6,clusters_0.5,clusters_0.4,clusters_0.3
14880x106940-0,E16-18_S01_a,14880,106940,468,468,6.150602768446279,2171.0,7.6834035,39.24458774758176,56.93228926761861,77.38369415016122,100.0,0.0,0.0,0,14,2,-305.0615114235479,101.33567662566202,0.0,circle,3,2,4,5
14880x106960-0,E16-18_S01_a,14880,106960,375,375,5.929589143389895,1581.0,7.366445,44.465528146742564,63.69386464263125,85.83175205566097,100.0,0.0,0.0,0,14,2,-305.0615114235479,121.33567662566202,0.0,circle,3,2,4,5
14880x106980-0,E16-18_S01_a,14880,106980,450,450,6.111467339502679,2095.0,7.647786,44.43914081145584,61.909307875894996,81.05011933174224,100.0,0.0,0.0,0,14,2,-305.0615114235479,141.33567662566202,0.0,circle,3,2,4,5
14880x107000-0,E16-18_S01_a,14880,107000,423,423,6.049733455231958,1681.0,7.4277387,38.90541344437835,56.2760261748959,77.75133848899465,100.0,0.0,0.0,0,14,2,-305.0615114235479,161.33567662566202,0.0,circle,3,2,4,5
14900x106760-0,E16-18_S01_a,14900,106760,387,387,5.961005339623274,2004.0,7.6033993,49.50099800399202,67.91417165668663,86.37724550898204,100.0,0.0,0.0,0,15,15,-285.0615114235479,-78.66432337433798,0.0,circle,14,0,2,3
14900x106780-0,E16-18_S01_a,14900,106780,448,448,6.1070228877422545,2197.0,7.695303,43.3318161128812,60.81019572143832,80.9285389167046,100.0,0.0,0.0,0,15,15,-285.0615114235479,-58.66432337433798,0.0,circle,14,0,2,3
14900x106800-0,E16-18_S01_a,14900,106800,421,421,6.045005314036012,2045.0,7.623642,43.618581907090466,61.809290953545236,82.00488997555013,100.0,0.0,0.0,0,15,15,-285.0615114235479,-38.66432337433798,0.0,circle,14,0,2,3
14900x106820-0,E16-18_S01_a,14900,106820,388,388,5.963579343618446,2054.0,7.6280313,45.47224926971762,64.94644595910418,85.34566699123661,100.0,0.0,0.0,0,15,15,-285.0615114235479,-18.664323374337982,0.0,circle,14,2,4,5
14900x106840-0,E16-18_S01_a,14900,106840,380,380,5.942799375126701,2030.0,7.6162834,48.177339901477836,66.94581280788178,86.35467980295567,100.0,0.0,0.0,0,15,15,-285.0615114235479,1.3356766256620176,0.0,circle,14,2,4,5
14900x106860-0,E16-18_S01_a,14900,106860,439,439,6.0867747269123065,2129.0,7.6638775,43.58853922029122,61.15547205260686,81.49365899483325,100.0,0.0,0.0,0,15,15,-285.0615114235479,21.335676625662018,0.0,circle,14,2,4,5
14900x106880-0,E16-18_S01_a,14900,106880,309,309,5.736572297479192,1569.0,7.358831,52.89993626513703,71.1281070745698,91.7144678138942,100.0,0.0,0.0,0,15,15,-285.0615114235479,41.33567662566202,0.0,circle,14,2,4,5
14900x106900-0,E16-18_S01_a,14900,106900,393,393,5.976350909297934,1958.0,7.580189,45.8120531154239,63.32992849846782,84.06537282941777,100.0,0.0,0.0,0,15,15,-285.0615114235479,61.33567662566202,0.0,circle,14,2,4,5
14900x106920-0,E16-18_S01_a,14900,106920,371,371,5.918893854273146,1604.0,7.380879,42.33167082294264,61.34663341645885,83.47880299251871,100.0,0.0,0.0,0,14,2,-285.0615114235479,81.33567662566202,0.0,circle,3,2,4,5
14900x106940-0,E16-18_S01_a,14900,106940,419,419,6.040254711277414,1829.0,7.512071,36.63203936577364,56.42427556041552,79.49699289229088,100.0,0.0,0.0,0,14,2,-285.0615114235479,101.33567662566202,0.0,circle,3,2,4,5
14900x106960-0,E16-18_S01_a,14900,106960,425,425,6.054439346269371,1755.0,7.4707937,40.85470085470085,59.54415954415955,80.7977207977208,100.0,0.0,0.0,0,14,2,-285.0615114235479,121.33567662566202,0.0,circle,3,2,4,5
14900x106980-0,E16-18_S01_a,14900,106980,438,438,6.0844994130751715,1800.0,7.4960976,40.166666666666664,59.27777777777777,80.22222222222221,100.0,0.0,0.0,0,14,2,-285.0615114235479,141.33567662566202,0.0,circle,3,2,4,5
